address	status	summary	evidence
103c7d84	modeled	Timed blocking motor vibration	Thumb call shape, literal strings, compatible runtime HAL
103c7dc0	reviewed	One-time vibration initialization guard	Pseudocode and literal strings
103c7df0	modeled	Default 300 ms vibration wrapper	Pseudocode, bind callback, compatible button policy
103c8290	modeled	Open Wi-Fi AP for product transfer	Pseudocode and compatible Wi-Fi lifecycle
103c83fc	modeled	Close Wi-Fi AP and release performance lock	Pseudocode and compatible Wi-Fi lifecycle
103c902e	modeled	DJB2-like byte hash used for token comparison	Pseudocode and compatible authentication code
103ca73c	modeled	Raw path read request entry	Pseudocode, protocol trace, compatible raw-transfer model
103cb4a4	modeled	Permit file lists for SDK >=1.6.88 or an explicitly enabled legacy force-sync path	Pseudocode, persistent-key literals, compatible policy model
103ccb58	modeled	Logical BLE connect and token verification	Pseudocode, owner trace, compatible session model
103ccfc8	modeled	Logical BLE disconnect with DID validation	Pseudocode and compatible session model
103cd098	modeled	Wi-Fi request dispatch and mode selection	Pseudocode and compatible Wi-Fi model
103cd510	reviewed	System-control key dispatch	Pseudocode; destructive handler intentionally pending
103cdc30	modeled	Parse set/get scheduled-recording requests, validate all entries, clear or persist atomically	Pseudocode, exact JSON fields/codes, compatible schedule model
103ce7b8	modeled	BLE frame receive and 27-command dispatch	Pseudocode, owner trace, compatible frame/router code
103d42d4	reviewed	Monotonic recording filename generation	Embedded identifier and path formatting
103d49b4	reviewed	Open or migrate aggregate voice-memo container and start capture	Pseudocode, strings, owner-read container
103d4d40	reviewed	Flush and finalize one aggregate voice-memo entry	Pseudocode, strings, owner-read container
103d4f38	reviewed	Safely delete aggregate voice-memo file	Pseudocode and strings
103d54fc	reviewed	Create or switch ordinary recording file	Embedded identifier and file lifecycle logs
103d6e70	modeled	Derive audio state 0..4 from recording/streaming/pause flags	Embedded identifier and compatible state model
103d6ee4	modeled	Pause ordinary recording and update state/UI	Embedded identifier and compatible audio action
103d6f78	modeled	Resume ordinary recording and update state/UI	Embedded identifier and compatible audio action
103d700c	modeled	Stop recording and notify schedule owner	Embedded identifier and compatible audio action
103d712c	reviewed	Create stream path and send current audio header	Embedded identifier and pseudocode
103d7360	modeled	Stop chat stream and restore pre-chat recording state	Embedded identifier and compatible button/runtime boundary
103d7554	modeled	Queue button HAL events and interrupt shutdown confirmation on release	Pseudocode and compatible button policy
103d7714	reviewed	Start translation/upload stream through shared stream path	Embedded identifier and pseudocode
103d77b0	modeled	Start ordinary recording and optional authenticated upload	Embedded identifier and compatible audio action
103d7970	modeled	Start chat recording/stream and save prior audio state	Embedded identifier and compatible live-stream boundary
103d7d78	reviewed	Start scheduled recording with schedule id	Embedded identifier and pseudocode
103d809c	reviewed	Full audio event/action/setting callback	Pseudocode, strings, call graph; false inner candidate removed
103d896c	modeled	Two-button events, timing thresholds, marker, live/memo and shutdown policy	Thumb assembly and compatible button policy tests
103db2e8	reviewed	Build product/device capability information response	Embedded identifier and JSON field construction
103db4c4	reviewed	Apply bind/unbind display, vibration, analytics and HID side effects	Embedded identifier and pseudocode
103dc024	reviewed	Slice outgoing BLE notifications by negotiated MTU	Embedded identifier and pseudocode
